gene_identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-value adjusted
MSTRG.11308	63.2969	1.9028	0.3558	34.8694	1.2982E-07	5.0363E-07
MSTRG.28125	65852.2446	-1.1597	0.2422	34.7610	1.3684E-07	5.2984E-07
MSTRG.27932	13484.0901	-1.3528	0.2326	33.3987	2.6536E-07	9.9713E-07
MSTRG.28137	26.8054	-0.8611	0.7362	33.1437	3.0035E-07	1.1236E-06
MSTRG.26488	95.5756	0.1454	0.3220	32.8348	3.4897E-07	1.2942E-06
MSTRG.124	4.5760	-0.1055	1.8969	32.8281	3.5012E-07	1.2982E-06
MSTRG.15715	260.6362	0.9449	0.1803	32.7132	3.7020E-07	1.3688E-06
MSTRG.26683	84.2582	0.9032	0.2898	32.3207	4.4790E-07	1.6422E-06
MSTRG.333	377.7608	-0.1003	0.1416	30.5876	1.0382E-06	3.6478E-06
MSTRG.23952	151.4917	-0.8095	0.3241	30.5065	1.0798E-06	3.7846E-06
MSTRG.455	457.9230	1.2298	0.2586	30.3643	1.1568E-06	4.0355E-06
MSTRG.84	6.4396	-1.0673	2.0129	29.9274	1.4294E-06	4.9294E-06
MSTRG.27986	422.6849	-0.3938	0.1759	29.6451	1.6388E-06	5.6199E-06
MSTRG.26499	186.9235	-0.2716	0.3868	29.5578	1.7096E-06	5.8526E-06
MSTRG.24114	17.5647	0.6471	0.7211	29.0790	2.1554E-06	7.2943E-06
MSTRG.661	374.3662	-0.8043	0.2197	29.0459	2.1903E-06	7.4050E-06
MSTRG.22344	26.2637	2.0365	0.6979	28.7557	2.5204E-06	8.4555E-06
MSTRG.216	131.9791	-11.5242	2.3940	28.5635	2.7659E-06	9.2414E-06
MSTRG.17791	2302.1377	0.5387	0.1794	28.0442	3.5553E-06	1.1719E-05
MSTRG.205	33.1865	4.6504	0.9150	27.6595	4.2816E-06	1.3953E-05
MSTRG.146	26.1212	3.0637	0.7538	27.3263	5.0293E-06	1.6236E-05
