Gene identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-adjusted
ENSG00000260920.2	33.4274	-1.4804	0.5045	59.0553	9.3553E-13	6.0337E-12
MSTRG.21414	6’707.7981	-0.9448	0.1222	59.0236	9.5022E-13	6.1268E-12
MSTRG.743	3’505.3678	-0.6119	0.1206	59.0186	9.5254E-13	6.1401E-12
MSTRG.2810	2’232.9459	0.3457	0.1065	59.0142	9.5461E-13	6.1518E-12
MSTRG.11405	257.8510	-1.0135	0.3543	59.0113	9.5598E-13	6.1590E-12
MSTRG.12857	74.1136	0.3706	0.3639	58.9954	9.6349E-13	6.2057E-12
MSTRG.8097	1’151.9953	-0.2505	0.1304	58.9892	9.6643E-13	6.2230E-12
MSTRG.11461	4’955.8783	-0.1434	0.1116	58.9847	9.6855E-13	6.2341E-12
ENSG00000215788.11	145.3725	-1.0923	0.2578	58.9845	9.6868E-13	6.2341E-12
MSTRG.25083	41.2937	3.7321	0.5124	58.9830	9.6937E-13	6.2369E-12
MSTRG.26208	6’950.3453	-0.5782	0.1097	58.9551	9.8278E-13	6.3205E-12
MSTRG.13066	951.7549	0.4850	0.1754	58.9548	9.8290E-13	6.3205E-12
MSTRG.26809	20’542.3522	-0.9865	0.1982	58.9461	9.8714E-13	6.3461E-12
MSTRG.14257	2’777.5306	-0.4321	0.1660	58.9440	9.8814E-13	6.3508E-12
MSTRG.18957	138.4217	2.0932	0.2773	58.9161	1.0018E-12	6.4367E-12
MSTRG.18141	19’683.3302	-0.3546	0.1305	58.9070	1.0063E-12	6.4640E-12
MSTRG.26047	2’110.6380	-1.3890	0.2827	58.8819	1.0188E-12	6.5426E-12
MSTRG.18336	5’788.6696	0.5892	0.1048	58.8695	1.0250E-12	6.5801E-12
ENSG00000065717.15	11.4656	-5.6258	1.3470	58.8692	1.0252E-12	6.5801E-12
MSTRG.17418	4’080.6540	-0.3447	0.0885	58.8663	1.0266E-12	6.5877E-12
MSTRG.8412	1’292.5203	0.5055	0.1088	58.8654	1.0271E-12	6.5888E-12
MSTRG.18790	2’022.1899	0.9966	0.1580	58.7944	1.0636E-12	6.8210E-12
MSTRG.20533	6.7047	6.1233	1.4374	58.7660	1.0785E-12	6.9151E-12
ENSG00000073605.18	774.5933	1.1424	0.1955	58.7438	1.0904E-12	6.9894E-12
MSTRG.25692	2’242.0209	-0.3162	0.1351	58.7429	1.0909E-12	6.9904E-12
MSTRG.24366	1’549.1302	-0.9653	0.1707	58.7362	1.0944E-12	7.0115E-12
MSTRG.1240	6’568.0772	0.9779	0.1321	58.7152	1.1058E-12	7.0824E-12
